R1_BAT,125.59,40.12,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,155.25,-3.23,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,92.56,50.04,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,120.62,31.30,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,68.33,2.71,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,154.11,-3.23,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,92.73,40.39,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,149.56,39.26,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,156.86,41.14,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,128.25,36.92,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,70.51,1.63,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,73.09,5.21,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,33.31,37.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,45.53,18.81,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,50.15,18.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,48.57,18.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,73.08,15.36,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64.05,96.98,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.71,96.67,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.05,51.64,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,52.22,97.04,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,74.59,15.33,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,60.79,96.69,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,156.02,1.87,0.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,67.56,0.59,0.00,,SJ
TP1,10.96,55.56,0.00,TPTP20R,TP20R
TP10,99.49,0.49,0.00,TPTP20R,TP20R
TP11,1.96,27.99,0.00,TPTP20R,TP20R
TP12,104.13,0.42,0.00,TPTP20R,TP20R
TP13,20.46,56.77,0.00,TPTP20R,TP20R
TP14,158.70,31.87,0.00,TPTP20R,TP20R
TP15,92.75,46.22,0.00,TPTP20R,TP20R
TP16,12.18,90.36,0.00,TPTP20R,TP20R
TP17,86.82,24.62,0.00,TPTP20R,TP20R
TP2,13.62,55.61,0.00,TPTP20R,TP20R
TP3,138.88,52.04,0.00,TPTP20R,TP20R
TP4,71.61,97.31,0.00,TPTP20R,TP20R
TP5,75.71,97.34,0.00,TPTP20R,TP20R
TP6,48.64,11.53,0.00,TPTP20R,TP20R
TP7,15.65,27.96,0.00,TPTP20R,TP20R
TP8,2.55,88.22,0.00,TPTP20R,TP20R
TP9,95.99,0.51,0.00,TPTP20R,TP20R
U1,38.79,44.16,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.02,43.89,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.15,44.60,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,139.66,42.97,0.00,MAX17048G+T10,SON50P200X200X80-9N
